"","a_suivi","performer_travail_projet","motivation_certificat","trouver_emploi","nbr_certificat","satisfait_gestion_temps","objectifs_atteints","satisfaction","vacances_etude","temps_alloue_cours","mooc_inclu_etude","edt_chargee","plateformes_utilisees","videos_cours","transcription","diapositives_cours","forum_discussion","examens_exercices","accompagnement_pedagogique","aides_financiere","prix","outils_exercice","sciences_donnees","informatique","sciences_physiques","business","arts","langues","sciences_sociales","sexe","pays","age","est_etudiant","niveau_actuel","formation","background"
"29","Oui, je l'ai suivi mais je ne l'ai pas terminé","Neutre","Désaccord","Tout à fait en désaccord",0,"D'accord","D'accord",7,"Les deux",5,"Oui","Non","Edx, FUN","Bien","Bien","Bien","Mauvais","Bien","Bien","Non",0,"Oui","Inintéressant","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Homme","France",21,"Oui","BAC +4","FIG","Prépa"
"30","Oui, je l'ai suivi mais je ne l'ai pas terminé","Tout à fait d'acord","Neutre","Tout à fait en désaccord",0,"D'accord","D'accord",7,"Vos études",5,"Non","Non","OpenClassrooms, FUN","Bien","Bien","Bien","Moyen","Moyen","Moyen","Non",2,"Non","Interessant","Interessant","Inintéressant","Interessant","Interessant","Interessant","Interessant","Homme","France",21,"Oui","BAC +5","FIP","Prépa"
"31","Oui, je l'ai suivi mais je ne l'ai pas terminé","Tout à fait d'acord","Tout à fait en désaccord","Tout à fait en désaccord",0,"D'accord","D'accord",5,"Vos études",NA,"Oui","Oui","OpenClassrooms, FUN","Moyen","Bien","Moyen","Très mauvais","Moyen","Très mauvais","Non",0,"Non","Pas très interessant","Interessant","Pas très interessant","Inintéressant","Inintéressant","Inintéressant","Inintéressant","Femme","France",23,"Non","BAC +5","FIG","Prépa"
"32","Oui, je l'ai suivi mais je ne l'ai pas terminé","D'accord","D'accord","Désaccord",0,"Neutre","Désaccord",4,"Vos études",13,"Oui","Oui","Coursera, FUN","Très bien","Très bien","Bien","Mauvais","Moyen","Très mauvais","Non",0,"Oui","Interessant","Interessant","Pas très interessant","Pas très interessant","Inintéressant","Inintéressant","Inintéressant","Homme","Maroc",24,"Oui","BAC +5","FIG","Prépa"
"33","Oui, je l'ai suivi mais je ne l'ai pas terminé","Tout à fait d'acord","D'accord","Neutre",0,"Neutre","Neutre",6,"Vos études",5,"Oui","Oui","Coursera, OpenClassrooms, FUN","Moyen","Bien","Moyen","Moyen","Bien","Moyen","Non",15,"Non","Interessant","Interessant","Pas très interessant","Inintéressant","Inintéressant","Pas très interessant","Pas très interessant","Homme","France",22,"Oui","BAC +4","FIG","Prépa"
"34","Oui, je l'ai suivi mais je ne l'ai pas terminé","D'accord","Désaccord","Tout à fait en désaccord",0,"Désaccord","Désaccord",10,"Les deux",5,"Non","Oui","FUN","Bien","Bien","Bien","Moyen","Bien","Moyen","Non",15,"Non","Interessant","Interessant","Pas très interessant","Pas très interessant","Interessant","Pas très interessant","Interessant","Homme","France",20,"Oui","BAC +4","FIL","DUT"
"35","Oui, je l'ai suivi mais je ne l'ai pas terminé","Neutre","Neutre","Tout à fait en désaccord",1,"Neutre","Désaccord",9,"Les deux",9,"Oui","Oui","Coursera, Edx, OpenClassrooms, FUN","Bien","Très bien","Très bien","Moyen","Bien","Moyen","Oui",0,"Oui","Interessant","Pas très interessant","Interessant","Interessant","Pas très interessant","Pas très interessant","Pas très interessant","Homme","France",24,"Oui","BAC +5","FIG","Prépa"
"36","Oui, je l'ai suivi mais je ne l'ai pas terminé","Tout à fait d'acord","Tout à fait d'acord","Neutre",0,"D'accord","D'accord",9,"Vos études",9,"Oui","Oui","Edx, OpenClassrooms","Très bien","Très bien","Très bien","Bien","Moyen","Bien","Non",0,"Oui","Inintéressant","Interessant","Inintéressant","Pas très interessant","Inintéressant","Interessant","Inintéressant","Femme","Tunisie",23,"Oui","BAC +4","FIG","Prépa"
"37","Oui, je l'ai suivi mais je ne l'ai pas terminé","D'accord","Tout à fait d'acord","Neutre",0,"Neutre","Neutre",8,"Vos études",11,"Oui","Non","OpenClassrooms","Bien","Moyen","Bien","Mauvais","Moyen","Mauvais","Non",60,"Oui","Pas très interessant","Interessant","Inintéressant","Interessant","Pas très interessant","Interessant","Pas très interessant","Femme","Maroc",22,"Oui","BAC +5","FIG","Prépa"
"38","Oui, je l'ai suivi mais je ne l'ai pas terminé","Tout à fait d'acord","Tout à fait d'acord","D'accord",0,"Désaccord","Désaccord",8,"Les deux",13,"Non","Non","OpenClassrooms, FUN","Très bien","Très bien","Bien","Bien","Moyen","Moyen","Non",50,"Oui","Interessant","Interessant","Interessant","Interessant","Pas très interessant","Pas très interessant","Pas très interessant","Homme","Maroc",21,"Oui","BAC +5","FIG","Prépa"
"39","Oui, je l'ai suivi mais je ne l'ai pas terminé","D'accord","Tout à fait en désaccord","D'accord",0,"Désaccord","Désaccord",8,"Les deux",9,"Non","Oui","Coursera, Edx","Très bien","Très bien","Très bien","Bien","Bien","Très bien","Oui",20,"Oui","Interessant","Interessant","Interessant","Pas très interessant","Interessant","Interessant","Interessant","Femme","Tunisie",27,"Oui","BAC +6 ou plus","Master of science","Prépa"
"40","Oui, je l'ai suivi mais je ne l'ai pas terminé","Tout à fait d'acord","Neutre","Neutre",0,"Neutre","Neutre",8,"Les deux",9,"Oui","Non","OpenClassrooms, codeacademy","Bien","Bien","Bien","Très bien","Bien","Bien","Oui",NA,"Oui","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Homme","France",20,"Oui","BAC +3","FIL","DUT"
"41","Oui, je l'ai suivi mais je ne l'ai pas terminé","Neutre","Désaccord","Tout à fait en désaccord",0,"Désaccord","Désaccord",2,"Les vacances",9,"Oui","Oui","FUN","Bien","Moyen","Mauvais","Très mauvais","Moyen","Très mauvais","Non",0,"Oui","Interessant","Interessant","Pas très interessant","Interessant","Pas très interessant","Inintéressant","Interessant","Homme","France",21,"Oui","BAC +3","FIG","Prépa"
"42","Oui, je l'ai suivi mais je ne l'ai pas terminé","Neutre","Tout à fait d'acord","Tout à fait d'acord",0,"Tout à fait en désaccord","Neutre",5,"Les deux",9,"Oui","Oui","FUN","Bien","Moyen","Moyen","Très mauvais","Moyen","Moyen","Non",NA,"Oui","Interessant","Interessant","Interessant","Interessant","Pas très interessant","Interessant","Pas très interessant","Homme","Mali",20,"Oui","BAC +3","FIG","Université"
